,location,key,value,type
617,Eastern Creek,rent_house,18.75,
618,Emerton,rent_house,24.8439,
619,Hebersham,rent_house,17.7732,
620,Lethbridge Park,rent_house,17.4699,
621,Whalan South,rent_house,16.8743,
622,Minchinbury,rent_house,13.8653,
623,Mount Druitt,rent_house,45.2523,
624,Mount Druitt North,rent_house,32.3966,
625,Mount Druitt South,rent_house,36.376,
626,Plumpton,rent_house,19.3565,
627,Rooty Hill North,rent_house,21.6109,
628,Rooty Hill South,rent_house,16.2437,
629,St Clair,rent_house,16.4835,
630,St Marys North,rent_house,19.102,
631,Shalvey,rent_house,15.4357,
632,Tregear,rent_house,20.1429,
633,Whalan,rent_house,15.4098,
634,Willmot,rent_house,18.679,
635,Erskine Park,rent_house,12.3297,
636,Hassall Grove,rent_house,20.03,
637,Glendenning,rent_house,20.111,
638,Schofields (Chifley),rent_house,26.097,
639,Dean Park,rent_house,19.7764,
640,Marsden Park,rent_house,32.0537,
641,Oxley Park,soc_ser_,22.4591,
642,St Marys South,soc_ser_,20.3985,
643,St Clair West,soc_ser_,21.497,
644,Bennett Road,soc_ser_,20.49,
645,Bidwill,soc_ser_,21.1025,
646,Blackett,soc_ser_,19.1558,
647,St Clair East,soc_ser_,21.2195,
648,Dharruk,soc_ser_,20.2762,
649,Eastern Creek,soc_ser_,24.1532,
650,Emerton,soc_ser_,19.5026,
651,Hebersham,soc_ser_,21.4177,
652,Lethbridge Park,soc_ser_,16.5079,
653,Whalan South,soc_ser_,20.4629,
654,Minchinbury,soc_ser_,21.2866,
655,Mount Druitt,soc_ser_,22.6914,
656,Mount Druitt North,soc_ser_,22.7632,
657,Mount Druitt South,soc_ser_,17.712,
658,Plumpton,soc_ser_,22.5241,
659,Rooty Hill North,soc_ser_,23.1386,
660,Rooty Hill South,soc_ser_,23.8233,
661,St Clair,soc_ser_,21.9897,
662,St Marys North,soc_ser_,19.4086,
663,Shalvey,soc_ser_,18.2362,
664,Tregear,soc_ser_,15.9966,
665,Whalan,soc_ser_,18.4309,
666,Willmot,soc_ser_,21.7791,
667,Erskine Park,soc_ser_,20.9088,
668,Hassall Grove,soc_ser_,20.413,
669,Glendenning,soc_ser_,21.3387,
670,Schofields (Chifley),soc_ser_,18.0758,
671,Dean Park,soc_ser_,20.6652,
672,Marsden Park,soc_ser_,15.5963,
673,Oxley Park,rou_pro_w_,61.0874,
674,St Marys South,rou_pro_w_,59.8846,
675,St Clair West,rou_pro_w_,62.2561,
676,Bennett Road,rou_pro_w_,59.8791,
677,Bidwill,rou_pro_w_,62.8338,
678,Blackett,rou_pro_w_,66.8831,
679,St Clair East,rou_pro_w_,58.4146,
680,Dharruk,rou_pro_w_,64.1715,
681,Eastern Creek,rou_pro_w_,55.3756,
682,Emerton,rou_pro_w_,64.7906,
683,Hebersham,rou_pro_w_,61.0633,
684,Lethbridge Park,rou_pro_w_,63.8095,
685,Whalan South,rou_pro_w_,64.799,
686,Minchinbury,rou_pro_w_,57.7581,
687,Mount Druitt,rou_pro_w_,58.3232,
688,Mount Druitt North,rou_pro_w_,61.1842,
689,Mount Druitt South,rou_pro_w_,60.7433,
690,Plumpton,rou_pro_w_,57.7271,
691,Rooty Hill North,rou_pro_w_,60.672,
692,Rooty Hill South,rou_pro_w_,58.9428,
693,St Clair,rou_pro_w_,57.955,
694,St Marys North,rou_pro_w_,61.6376,
