region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,pct_have_motor,O_OR_Total,O_MTG_Total,R_Tot_Total,Oth_ten_type_Total,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Household,pct_house,pct_unit,pct_semi,pct_own,pct_rent,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6,Total_NofB_NS,Total_NofB_Total,Pct_NofB_1,Pct_NofB_2,Pct_NofB_3,Pct_NofB_4_or_m,Pct_Unem_loyment_P,Pct_LabForc_prticipation_P,Pct_Employment_to_populn_P,Pct_Bchelr_or_higher,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot,Pct_professionals_managers,One_method_Train_P,One_method_Bus_P,One_method_Ferry_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Bicycle_P,One_method_Walked_only_P,pct_one_method_Train,pct_one_method_Bus,pct_one_method_Ferry,pct_one_method_Bicyle,SSC_CODE_2011,SSC_NAME_2011,CONF_VALUE,POA_CODE_2011,AREA_ALBERS_SQKM,suburb,latitude,longtitude,state
SSC60023,45,1409,387,150,1125,1.2,1012,2.8,0.95,35,21,6,0,4,66,0,0,0,0,66,1,0,0,0.848484848,0.090909091,5,12,33,15,0,0,0,65,0.076923077,0.184615385,0.507692308,0.230769231,6.9,56.5,52.6,0.206896552,0,7,0,3,4,6,3,7,0,30,0.233333333,0,0,0,0,47,7,0,4,0,0,0,0,60023,Bellingham,Poor,7254,150.3063756,BELLINGHAM,-41.016616,147.167212,
SSC60024,43,1343,451,180,1086,1.1,865,2.3,0.891918208,374,368,290,5,28,887,61,104,13,0,1065,0.83286385,0.097652582,0.057276995,0.696713615,0.272300469,81,181,582,149,39,8,20,1040,0.077884615,0.174038462,0.559615385,0.188461538,6.8,54.2,50.6,0.209090909,38,75,32,100,135,84,6,62,13,545,0.212406015,3,54,0,3,727,94,10,15,0.002659574,0.04787234,0,0.008865248,60024,Berriedale,Very good,7011,2.16184172,BERRIEDALE,-42.766405,147.243418,
SSC60025,52,1083,460,165,1079,1.1,812,2.1,0.954929577,184,78,93,3,8,337,6,7,16,0,366,0.920765027,0.019125683,0.016393443,0.715846995,0.254098361,18,97,175,55,8,4,0,357,0.050420168,0.271708683,0.490196078,0.18767507,5.5,54.6,51.6,0.293333333,26,21,6,18,29,22,0,38,3,163,0.29375,4,0,0,0,201,28,0,27,0.01061008,0,0,0,60025,Bicheno,Very good,7215,151.131274,BICHENO,-41.419818,148.27604,
SSC60026,57,953,363,185,688,1,680,1.9,0.96,50,11,11,0,3,52,23,0,0,0,75,0.693333333,0,0.306666667,0.813333333,0.146666667,0,23,39,12,0,0,3,74,0,0.310810811,0.527027027,0.162162162,13.1,44.9,39,0.217391304,0,9,0,8,6,3,3,0,0,29,0.310344828,0,0,0,0,42,0,0,0,0,0,0,0,60026,Binalong Bay,Acceptable,7216,1.01394795,BINALONG BAY,-41.304515,148.316711,
SSC60027,52,1083,455,220,1107,1,1057,2.3,0.944444444,42,25,4,0,0,71,0,0,0,0,71,1,0,0,0.943661972,0.056338028,4,13,40,12,3,0,0,72,0.055555556,0.180555556,0.555555556,0.208333333,4,55.3,53.1,0.514563107,3,11,6,6,12,7,0,0,3,48,0.311111111,0,0,0,0,48,10,0,0,0,0,0,0,60027,Birchs Bay,Poor,7162,13.47351412,BIRCHS BAY,-43.177141,147.236472,
SSC60028,44,1300,390,150,1009,1.1,946,2.5,0.977777778,56,55,21,0,4,133,3,0,0,0,136,0.977941176,0,0.022058824,0.816176471,0.154411765,6,22,63,33,7,3,3,134,0.044776119,0.164179104,0.470149254,0.320895522,5.1,55.4,52.6,0.321428571,6,16,7,3,18,6,0,3,0,59,0.372881356,0,0,0,0,108,12,0,5,0,0,0,0,60028,Birralee,Very poor,7292,128.793824,BIRRALEE,-41.526154,146.896855,
SSC60029,41,1517,633,290,1547,1.1,1285,2.6,0.961274708,1040,948,485,11,37,2239,95,187,0,0,2521,0.888139627,0.074176914,0.037683459,0.788575962,0.192383975,31,382,1272,673,121,21,18,2500,0.0124,0.1528,0.5088,0.326,4.4,65.2,62.3,0.425089606,151,469,76,273,448,211,8,81,3,1720,0.361094933,0,168,0,7,2158,246,15,52,0,0.049426302,0,0.004413063,60029,Blackmans Bay,Very good,7052,6.20518563,BLACKMANS BAY,-42.995485,147.322456,
SSC60030,38,1668,630,265,1816,1,1651,3.1,0.992665037,131,238,41,0,3,399,14,0,0,0,413,0.966101695,0,0.033898305,0.89346247,0.099273608,0,18,158,188,43,6,0,413,0,0.043583535,0.382566586,0.573849879,4.1,74.3,71.3,0.302277433,25,73,22,44,97,57,3,21,6,348,0.286549708,0,8,0,0,542,54,0,0,0,0.010928962,0,0,60030,Blackstone Heights,Very good,7250,5.46504158,BLACKSTONE HEIGHTS,-41.464971,147.078832,
SSC60031,46,1040,457,250,990,1,884,2.6,1,49,39,15,4,0,107,0,0,0,0,107,1,0,0,0.822429907,0.140186916,5,30,55,17,0,0,0,107,0.046728972,0.280373832,0.514018692,0.158878505,4.6,51,48.6,0.211764706,6,10,0,9,12,12,3,6,0,58,0.275862069,0,6,0,0,88,3,0,3,0,0.048,0,0,60031,Blackwall (Tas.),Very good,7275,0.6569061,BLACKWALL (TAS.),-41.30513,146.966495,
SSC60032,46,1900,500,240,1212,1.1,1160,2.7,0.980392157,72,53,25,0,4,154,0,0,0,0,154,1,0,0,0.811688312,0.162337662,5,18,71,43,10,5,0,152,0.032894737,0.118421053,0.467105263,0.381578947,5.4,65.5,62,0.4,19,21,0,14,21,16,3,3,0,97,0.412371134,0,0,0,0,134,7,3,3,0,0,0,0.014084507,60032,Boat Harbour Beach,Very poor,7321,22.3562648,BOAT HARBOUR BEACH,-40.850586,145.308924,
